"s1","s2"
"https://openalex.org/W4220847717","Early Data on Utilization and Discard of Organs From COVID-19–infected Donors: A US National Registry Analysis"
"https://openalex.org/W4223491415","Effectiveness of Casirivimab-Imdevimab Monoclonal Antibody Treatment Among High-Risk Patients With Severe Acute Respiratory Syndrome Coronavirus 2 B.1.617.2 (Delta Variant) Infection"
"https://openalex.org/W4282837212","Navigating the initial diagnosis and management of adult IgA vasculitis: A review"
"https://openalex.org/W4290723743","Increased Rates of Kidney Discard in the Era of COVID-19 and Recent KAS Policy Implementation"
"https://openalex.org/W4302011830","Oversimplification and Misplaced Blame Will Not Solve the Complex Kidney Underutilization Problem"
"https://openalex.org/W4210971474","A Simple Incentive Mechanism to Alleviate the Burden of Organ Wastage in Transplantation"
"https://openalex.org/W4224903100","Predicting Post-Heart Transplant Composite Renal Outcome Risk in Adults: A Machine Learning Decision Tool"
"https://openalex.org/W4205981601","Outcomes of Simultaneous Liver‐Kidney Transplantation Using Kidneys of Deceased Donors With Acute Kidney Injury"
"https://openalex.org/W4220987486","Vignette-Based Reflections to Inform Genetic Testing Policies in Living Kidney Donors"
"https://openalex.org/W4307751836","Detection of Transmissible Severe Acute Respiratory Syndrome Coronavirus-2 From Deceased Kidney Donors: Implications for Kidney Transplant Recipients"
"https://openalex.org/W4297456972","Effect of age and rural residency on perceptions about SARS‐CoV‐2 pandemic and vaccination in kidney transplant recipients"
"https://openalex.org/W4305073007","Utilization of hepatitis C virus-positive donors in kidney transplantation"
"https://openalex.org/W4311814760","Lack of effectiveness of Bebtelovimab Monoclonal Antibody Among High-Risk Patients with SARS-Cov-2 Omicron During BA.2, BA.2.12.1 and BA.5 Subvariants Dominated Era"
"https://openalex.org/W4313067674","Isolated Vascular Lesions in Renal Allograft Biopsy: How Do I Treat it?"
"https://openalex.org/W4289334207","Donor-derived Cell-free DNA Measurement in Kidney Transplant Patients Without Allograft Dysfunction: More Evidence and More Questions"
"https://openalex.org/W4312197410","EFFECTIVENESS OF CASIRIVIMAB-IMDEVIMAB AND SOTROVIMAB MONOCLONAL ANTIBODY TREATMENT AMONG HIGH-RISK PATIENTS WITH SARS-CoV-2 INFECTION: A REAL-WORLD EXPERIENCE"
