Name,ID
Heather Froehlich,NA
Megan Senseney,https://openalex.org/A5031860314
Ellen Dubinsky,https://openalex.org/A5002413850
Fernando Rios,https://openalex.org/A5027526343
Fernando Rios,https://openalex.org/A5045598118
Vicktoria Wilcox,NA
Anthony Sanchez,https://openalex.org/A5032220440
Kimberly Chapman,https://openalex.org/A5078704068
Jeffrey Oliver,https://openalex.org/A5061875763
Alana Varner,NA
Elizabeth Kline,https://openalex.org/A5080033269
Daniel Martin,https://openalex.org/A5078903553
Daniel Martin,https://openalex.org/A5011535969
Daniel Martin,https://openalex.org/A5051794858
Yan Han,https://openalex.org/A5056855636
Cheryl Casey,https://openalex.org/A5091434366
Niamh Wallace,https://openalex.org/A5074958042
